                                                                                                                                                                                                                                                                
                        1                        2
                   M_star               freq_units
  0.3182720000000000E+034UHZ                      
                        1                        2                        3
                     n_pg                 Re(freq)                 Im(freq)
                     -100  0.3869303726593865E+001  0.0000000000000000E+000
                      -99  0.3894917154601700E+001  0.0000000000000000E+000
                      -98  0.3921044869947184E+001  0.0000000000000000E+000
                      -97  0.3947711297896099E+001  0.0000000000000000E+000
                      -96  0.3974940103433846E+001  0.0000000000000000E+000
                      -95  0.4002750329175951E+001  0.0000000000000000E+000
                      -94  0.4031154218503171E+001  0.0000000000000000E+000
                      -93  0.4060159231031132E+001  0.0000000000000000E+000
                      -92  0.4089774413246432E+001  0.0000000000000000E+000
                      -91  0.4120018383562638E+001  0.0000000000000000E+000
                      -90  0.4150925564338372E+001  0.0000000000000000E+000
                      -89  0.4182546760426208E+001  0.0000000000000000E+000
                      -88  0.4214941710789057E+001  0.0000000000000000E+000
                      -87  0.4248164098517709E+001  0.0000000000000000E+000
                      -86  0.4282248293095472E+001  0.0000000000000000E+000
                      -85  0.4317205381988221E+001  0.0000000000000000E+000
                      -84  0.4353027147644995E+001  0.0000000000000000E+000
                      -83  0.4389695578577146E+001  0.0000000000000000E+000
                      -82  0.4427196771794121E+001  0.0000000000000000E+000
                      -81  0.4465534583158965E+001  0.0000000000000000E+000
                      -80  0.4504742568942558E+001  0.0000000000000000E+000
                      -79  0.4544887706319797E+001  0.0000000000000000E+000
                      -78  0.4586060169387877E+001  0.0000000000000000E+000
                      -77  0.4628349676152689E+001  0.0000000000000000E+000
                      -76  0.4671818964844562E+001  0.0000000000000000E+000
                      -75  0.4716490077843985E+001  0.0000000000000000E+000
                      -74  0.4762353345090369E+001  0.0000000000000000E+000
                      -73  0.4809396606190565E+001  0.0000000000000000E+000
                      -72  0.4857646955059072E+001  0.0000000000000000E+000
                      -71  0.4907214037734397E+001  0.0000000000000000E+000
                      -70  0.4958299339114887E+001  0.0000000000000000E+000
                      -69  0.5011151095421567E+001  0.0000000000000000E+000
                      -68  0.5065984657279041E+001  0.0000000000000000E+000
                      -67  0.5122926841765321E+001  0.0000000000000000E+000
                      -66  0.5182006319395199E+001  0.0000000000000000E+000
                      -65  0.5243178912786320E+001  0.0000000000000000E+000
                      -64  0.5306363087932763E+001  0.0000000000000000E+000
                      -63  0.5371485068028702E+001  0.0000000000000000E+000
                      -62  0.5438537718027808E+001  0.0000000000000000E+000
                      -61  0.5507644558935530E+001  0.0000000000000000E+000
                      -60  0.5579097655545726E+001  0.0000000000000000E+000
                      -59  0.5653294000604891E+001  0.0000000000000000E+000
                      -58  0.5730595997344405E+001  0.0000000000000000E+000
                      -57  0.5811220414417622E+001  0.0000000000000000E+000
                      -56  0.5895220039535444E+001  0.0000000000000000E+000
                      -55  0.5982515281245432E+001  0.0000000000000000E+000
                      -54  0.6072948765396268E+001  0.0000000000000000E+000
                      -53  0.6166405538345337E+001  0.0000000000000000E+000
                      -52  0.6263000797782787E+001  0.0000000000000000E+000
                      -51  0.6363256933359782E+001  0.0000000000000000E+000
                      -50  0.6468037826555125E+001  0.0000000000000000E+000
                      -49  0.6578213635007378E+001  0.0000000000000000E+000
                      -48  0.6694373528143442E+001  0.0000000000000000E+000
                      -47  0.6816788380405923E+001  0.0000000000000000E+000
                      -46  0.6945510280218958E+001  0.0000000000000000E+000
                      -45  0.7080437036956833E+001  0.0000000000000000E+000
                      -44  0.7221339949309378E+001  0.0000000000000000E+000
                      -43  0.7367888094630872E+001  0.0000000000000000E+000
                      -42  0.7519834264096035E+001  0.0000000000000000E+000
                      -41  0.7677511563787384E+001  0.0000000000000000E+000
                      -40  0.7842303978500190E+001  0.0000000000000000E+000
                      -39  0.8016403132008215E+001  0.0000000000000000E+000
                      -38  0.8201789458978077E+001  0.0000000000000000E+000
                      -37  0.8399562915249954E+001  0.0000000000000000E+000
                      -36  0.8610070827441616E+001  0.0000000000000000E+000
                      -35  0.8832995471504839E+001  0.0000000000000000E+000
                      -34  0.9067164983984087E+001  0.0000000000000000E+000
                      -33  0.9310319364181343E+001  0.0000000000000000E+000
                      -32  0.9560460942101859E+001  0.0000000000000000E+000
                      -31  0.9820399566484197E+001  0.0000000000000000E+000
                      -30  0.1009999130573530E+002  0.0000000000000000E+000
                      -29  0.1040825725901511E+002  0.0000000000000000E+000
                      -28  0.1074814287030927E+002  0.0000000000000000E+000
                      -27  0.1111914733941113E+002  0.0000000000000000E+000
                      -26  0.1151938082580120E+002  0.0000000000000000E+000
                      -25  0.1194444963067568E+002  0.0000000000000000E+000
                      -24  0.1238419282103560E+002  0.0000000000000000E+000
                      -23  0.1282836913470332E+002  0.0000000000000000E+000
                      -22  0.1330008290590796E+002  0.0000000000000000E+000
                      -21  0.1384300083492371E+002  0.0000000000000000E+000
                      -20  0.1446894296333270E+002  0.0000000000000000E+000
