                                                                                                                                                                                                                                                                
                        1                        2
                   M_star               freq_units
  0.3182720000000000E+034UHZ                      
                        1                        2                        3
                     n_pg                 Re(freq)                 Im(freq)
                     -100  0.4075494908126973E+001  0.0000000000000000E+000
                      -99  0.4100972975547541E+001  0.0000000000000000E+000
                      -98  0.4126943740433953E+001  0.0000000000000000E+000
                      -97  0.4153431020199460E+001  0.0000000000000000E+000
                      -96  0.4180457826449770E+001  0.0000000000000000E+000
                      -95  0.4208042553073811E+001  0.0000000000000000E+000
                      -94  0.4236196863483249E+001  0.0000000000000000E+000
                      -93  0.4264927741653271E+001  0.0000000000000000E+000
                      -92  0.4294243833729286E+001  0.0000000000000000E+000
                      -91  0.4324163335799422E+001  0.0000000000000000E+000
                      -90  0.4354720086834300E+001  0.0000000000000000E+000
                      -89  0.4385964031649040E+001  0.0000000000000000E+000
                      -88  0.4417953771292146E+001  0.0000000000000000E+000
                      -87  0.4450741754577636E+001  0.0000000000000000E+000
                      -86  0.4484361285710325E+001  0.0000000000000000E+000
                      -85  0.4518822741398418E+001  0.0000000000000000E+000
                      -84  0.4554117603599205E+001  0.0000000000000000E+000
                      -83  0.4590227899551908E+001  0.0000000000000000E+000
                      -82  0.4627139920472698E+001  0.0000000000000000E+000
                      -81  0.4664857642754563E+001  0.0000000000000000E+000
                      -80  0.4703414403060487E+001  0.0000000000000000E+000
                      -79  0.4742876411069356E+001  0.0000000000000000E+000
                      -78  0.4783332523408801E+001  0.0000000000000000E+000
                      -77  0.4824870912574032E+001  0.0000000000000000E+000
                      -76  0.4867553090198769E+001  0.0000000000000000E+000
                      -75  0.4911400646996848E+001  0.0000000000000000E+000
                      -74  0.4956404300935501E+001  0.0000000000000000E+000
                      -73  0.5002552736386070E+001  0.0000000000000000E+000
                      -72  0.5049873562922660E+001  0.0000000000000000E+000
                      -71  0.5098475520193517E+001  0.0000000000000000E+000
                      -70  0.5148557082246292E+001  0.0000000000000000E+000
                      -69  0.5200361886295578E+001  0.0000000000000000E+000
                      -68  0.5254100833429746E+001  0.0000000000000000E+000
                      -67  0.5309898082737243E+001  0.0000000000000000E+000
                      -66  0.5367782038087561E+001  0.0000000000000000E+000
                      -65  0.5427710241578059E+001  0.0000000000000000E+000
                      -64  0.5489604105566761E+001  0.0000000000000000E+000
                      -63  0.5553393079846462E+001  0.0000000000000000E+000
                      -62  0.5619072326343097E+001  0.0000000000000000E+000
                      -61  0.5686765301426887E+001  0.0000000000000000E+000
                      -60  0.5756760505793062E+001  0.0000000000000000E+000
                      -59  0.5829448807205302E+001  0.0000000000000000E+000
                      -58  0.5905186869699608E+001  0.0000000000000000E+000
                      -57  0.5984188846292172E+001  0.0000000000000000E+000
                      -56  0.6066508735750862E+001  0.0000000000000000E+000
                      -55  0.6152071360719574E+001  0.0000000000000000E+000
                      -54  0.6240725801889553E+001  0.0000000000000000E+000
                      -53  0.6332363262060589E+001  0.0000000000000000E+000
                      -52  0.6427101156509396E+001  0.0000000000000000E+000
                      -51  0.6525456428285699E+001  0.0000000000000000E+000
                      -50  0.6628280700718006E+001  0.0000000000000000E+000
                      -49  0.6736431777085246E+001  0.0000000000000000E+000
                      -48  0.6850492652747072E+001  0.0000000000000000E+000
                      -47  0.6970735134622180E+001  0.0000000000000000E+000
                      -46  0.7097217007367290E+001  0.0000000000000000E+000
                      -45  0.7229844716993250E+001  0.0000000000000000E+000
                      -44  0.7368400165413706E+001  0.0000000000000000E+000
                      -43  0.7512564407087591E+001  0.0000000000000000E+000
                      -42  0.7662100951491706E+001  0.0000000000000000E+000
                      -41  0.7817345542178102E+001  0.0000000000000000E+000
                      -40  0.7979670217720861E+001  0.0000000000000000E+000
                      -39  0.8151243436394855E+001  0.0000000000000000E+000
                      -38  0.8334026541348223E+001  0.0000000000000000E+000
                      -37  0.8529114934107273E+001  0.0000000000000000E+000
                      -36  0.8736863303749629E+001  0.0000000000000000E+000
                      -35  0.8956969565556687E+001  0.0000000000000000E+000
                      -34  0.9188285439077006E+001  0.0000000000000000E+000
                      -33  0.9428584765106406E+001  0.0000000000000000E+000
                      -32  0.9675907007976720E+001  0.0000000000000000E+000
                      -31  0.9933064264303269E+001  0.0000000000000000E+000
                      -30  0.1020983383252725E+002  0.0000000000000000E+000
                      -29  0.1051514659881828E+002  0.0000000000000000E+000
                      -28  0.1085193229151723E+002  0.0000000000000000E+000
                      -27  0.1121972307773365E+002  0.0000000000000000E+000
                      -26  0.1161667152513135E+002  0.0000000000000000E+000
                      -25  0.1203843076960204E+002  0.0000000000000000E+000
                      -24  0.1247491514225515E+002  0.0000000000000000E+000
                      -23  0.1291601884961131E+002  0.0000000000000000E+000
                      -22  0.1338482586479602E+002  0.0000000000000000E+000
                      -21  0.1392467397916170E+002  0.0000000000000000E+000
                      -20  0.1454728408786706E+002  0.0000000000000000E+000
                      -19  0.1524998551802075E+002  0.0000000000000000E+000
                      -18  0.1603315483767523E+002  0.0000000000000000E+000
                      -17  0.1689651169457746E+002  0.0000000000000000E+000
                      -16  0.1782992710833979E+002  0.0000000000000000E+000
                      -15  0.1881618853123975E+002  0.0000000000000000E+000
                      -14  0.1989468181849579E+002  0.0000000000000000E+000
                      -13  0.2117749935810335E+002  0.0000000000000000E+000
                      -12  0.2274227004958621E+002  0.0000000000000000E+000
                      -11  0.2463583179033845E+002  0.0000000000000000E+000
                      -10  0.2693400136996991E+002  0.0000000000000000E+000
                       -9  0.2976922027473159E+002  0.0000000000000000E+000
                       -8  0.3336319031030954E+002  0.0000000000000000E+000
                       -7  0.3801043608604430E+002  0.0000000000000000E+000
                       -6  0.4422346463959656E+002  0.0000000000000000E+000
                       -5  0.5280267651680851E+002  0.0000000000000000E+000
